iter	Passed	Remaining
0	111	111856
1	119	59507
2	123	41041
3	127	31800
4	131	26102
5	135	22432
6	139	19809
7	143	17854
8	148	16350
9	150	14901
10	153	13842
11	158	13030
12	162	12311
13	166	11695
14	169	11104
15	172	10598
16	175	10156
17	179	9769
18	182	9413
19	185	9097
20	188	8808
21	192	8545
22	195	8310
23	198	8085
24	201	7875
25	204	7673
26	207	7486
27	211	7329
28	214	7178
29	217	7039
30	220	6905
31	224	6776
32	226	6645
33	230	6536
34	232	6418
35	235	6318
36	239	6228
37	242	6144
38	245	6058
39	249	5983
40	252	5907
41	256	5851
42	260	5797
43	264	5743
44	268	5688
45	271	5628
46	274	5575
47	278	5531
48	282	5490
49	286	5444
50	290	5405
51	293	5351
52	296	5296
53	300	5258
54	303	5220
55	307	5176
56	310	5133
57	314	5104
58	318	5074
59	322	5046
60	326	5021
61	330	4993
62	334	4976
63	338	4950
64	342	4924
65	346	4896
66	349	4864
67	353	4844
68	357	4818
69	361	4797
70	364	4775
71	368	4754
72	372	4733
73	376	4714
74	380	4693
75	384	4672
76	388	4652
77	391	4632
78	395	4614
79	399	4591
80	403	4573
81	406	4551
82	409	4529
83	413	4510
84	417	4493
85	421	4478
86	425	4461
87	428	4437
88	431	4421
89	435	4407
90	439	4391
91	443	4378
92	447	4363
93	451	4350
94	455	4339
95	459	4326
96	463	4313
97	467	4302
98	471	4290
99	475	4277
100	478	4262
101	482	4248
102	486	4238
103	490	4226
104	494	4212
105	496	4187
106	500	4176
107	504	4170
108	509	4161
109	512	4148
110	516	4137
111	520	4126
112	524	4115
113	528	4104
114	532	4094
115	535	4080
116	538	4065
117	542	4053
118	545	4039
119	548	4024
120	552	4011
121	555	3998
122	559	3985
123	561	3968
124	564	3948
125	567	3938
126	571	3930
127	575	3920
128	579	3910
129	582	3895
130	585	3883
131	588	3871
132	592	3859
133	595	3848
134	598	3835
135	601	3822
136	605	3811
137	608	3799
138	611	3788
139	614	3775
140	618	3765
141	621	3754
142	624	3744
143	628	3734
144	632	3729
145	636	3724
146	640	3715
147	644	3708
148	648	3702
149	652	3695
150	656	3688
151	660	3682
152	664	3676
153	668	3669
154	671	3662
155	675	3657
156	679	3650
157	683	3643
158	687	3637
159	691	3629
160	695	3626
161	698	3614
162	700	3597
163	703	3587
164	706	3577
165	710	3567
166	713	3558
167	717	3553
168	720	3544
169	724	3535
170	727	3526
171	730	3517
172	734	3508
173	737	3499
174	740	3491
175	744	3485
176	748	3478
177	752	3473
178	755	3465
179	758	3456
180	762	3449
181	765	3441
182	769	3435
183	773	3428
184	776	3422
185	780	3416
186	785	3413
187	789	3408
188	793	3403
189	797	3399
190	800	3392
191	804	3386
192	808	3382
193	812	3376
194	816	3370
195	820	3364
196	823	3357
197	826	3348
198	829	3340
199	832	3331
200	835	3321
201	838	3314
202	842	3305
203	844	3296
204	847	3288
205	851	3283
206	855	3278
207	859	3272
208	863	3267
209	867	3263
210	871	3258
211	875	3253
212	879	3248
213	882	3242
214	886	3237
215	890	3231
216	893	3223
217	896	3214
218	899	3209
219	903	3204
220	907	3199
221	910	3192
222	914	3187
223	918	3180
224	921	3174
225	925	3169
226	929	3164
227	932	3158
228	936	3153
229	939	3146
230	943	3140
231	947	3136
232	951	3131
233	955	3126
234	959	3122
235	963	3117
236	966	3112
237	970	3107
238	974	3102
239	977	3096
240	981	3091
241	985	3087
242	989	3082
243	993	3078
244	997	3073
245	1001	3068
246	1005	3064
247	1008	3058
248	1012	3054
249	1016	3048
250	1020	3044
251	1023	3038
252	1026	3032
253	1030	3027
254	1034	3023
255	1038	3018
256	1042	3014
257	1046	3009
258	1050	3006
259	1054	3001
260	1058	2996
261	1062	2991
262	1066	2987
263	1070	2983
264	1073	2978
265	1077	2974
266	1081	2970
267	1086	2966
268	1089	2961
269	1094	2958
270	1098	2954
271	1101	2947
272	1104	2941
273	1108	2937
274	1112	2932
275	1116	2927
276	1119	2923
277	1124	2919
278	1129	2917
279	1132	2912
280	1136	2907
281	1140	2903
282	1143	2898
283	1147	2894
284	1151	2889
285	1155	2884
286	1159	2880
287	1163	2876
288	1167	2872
289	1171	2867
290	1175	2863
291	1179	2859
292	1182	2854
293	1186	2850
294	1190	2844
295	1194	2840
296	1197	2835
297	1201	2830
298	1205	2825
299	1208	2819
300	1211	2814
301	1215	2808
302	1218	2802
303	1221	2796
304	1224	2791
305	1228	2785
306	1231	2779
307	1234	2773
308	1237	2768
309	1241	2762
310	1244	2756
311	1248	2752
312	1252	2748
313	1255	2742
314	1258	2736
315	1261	2730
316	1264	2724
317	1267	2717
318	1270	2711
319	1273	2705
320	1277	2701
321	1281	2698
322	1285	2694
323	1289	2690
324	1293	2687
325	1297	2682
326	1301	2678
327	1305	2674
328	1309	2670
329	1313	2665
330	1316	2660
